features.properties.@id,Amenity_name,Latitude,Longitude,Terrace_Status
node/2034780565,Cerbeseria Lesseps,"41,4073551","2,1514486",
node/2034780569,L'Brasseria,"41,4067629","2,1516314",
node/2040907514,Can Sunye,"41,5688239","2,5266033",
node/2040907524,Sotavent,"41,5663128","2,5228025",
node/2050028587,Bar l'ancla,"41,5888093","2,5775837",
node/2056517879,Caelum,"41,3830524","2,1744369",
node/2065469522,Restaurant Pipa,"41,3997461","2,2003004",
node/2087204991,La Sanguchería,"41,3954987","2,1484037",
node/2091604731,Tapa Tapa,"41,3762094","2,1500463",
node/2112843062,El Vaixell-2,"41,4541291","2,2350201",
node/2112843063,Bar Granja Ana,"41,4541639","0,2235132",
node/2116478323,Bar Sporting,"4,1451428","2,2322905",
node/2137277603,On Café,"4,1398798","2,1708209",
node/2165154147,Asador de Lugo,"41,3797623","2,1376748",
node/2180888987,Ja hi som tots,"41,5455691","0,2217966",
node/2184580476,Bar del Pi,"41,3824922","2,1739624",
node/2184580514,Ocaña,"4,1379674","2,1755608",
node/2187210264,Sopa,"41,4023416","2,1952788",
node/2192075266,A' Cañota,"4,1415307","2,1820581",
node/2197824500,Tierra del fuego,"41,4016702","2,2016399",
node/2213839299,Pollo Rico,"41,3791045","2,1721976",
node/2246250275,Tiburon,"41,2663555","1,9820177",
node/2246259368,Celeste,"41,2663585","1,9716986",
node/2246284370,Taberna,"41,2660571","1,9685357",
node/2246301529,Bocata's,"41,2653586","1,9543445",
node/2246302895,Pizza Sur,"41,2653998","1,9572382",
node/2246306187,Rober's,"41,2659664","1,9691166",
node/2246312234,null,"41,2663029","1,9814799",
node/2246316668,Camarote,"41,2657274","0,1975672",
node/2246383635,Fosbury Cafe,"41,2653897","1,9576808",
node/2246390964,Casanova Beach Club,"41,2653984","1,9594703",
node/2246391136,null,"41,2659329","0,1964411",
node/2247789630,Craft Barcelona,"41,3831558","0,2176977",
node/2280002545,Granier,"41,2680174","2,0194799",
node/2326847462,Casanova,"41,2659043","1,9611565",
node/2326851355,Frankfurt's,"41,2653532","1,9553404",
node/2364075421,Chen-Ji,"41,3936143","2,1807074",
node/2434563732,La Bella Napoli,"41,3743686","2,1637621",
node/2435572563,Cafetería Pizzería Afrika,"4,1321225","2,0860328",
node/2442785485,El Círcol,"41,4501968","2,2474223",
node/2450280162,Bar restaurant Ateneu unió,"41,3613288","2,0275897",
node/2450280167,Sport,"41,3620023","2,0282241",
node/2453549464,La Adelita Sitges,"41,2347499","1,8068714",
node/2457866963,Glaciar,"4,1380221","2,1746504",
node/2468197823,365 Cafeteria Forn de Pa,"41,3752071","2,1635151",
node/2476332030,Bar Lennon,"41,4028901","2,1612576",
node/2500906795,Bar Lúdic Queimada Nivell Q,"41,4094152","2,1808913",
node/2574238254,Parrots,"41,2357142","1,8069381",
node/2598482930,Con Gracia,"41,3990704","2,1600617",
node/2609081753,365,"4,1392208","0,2167538",
node/2609183969,Fukuoka,"41,4022587","2,1612976",
node/2610011570,Immersió,"41,3831905","0,2174391",
node/2610015274,Chocolate Box,"4,1384715","0,0217514",
node/2610750687,Xiringuito Aigua,"41,4096717","2,1683236",
node/2618447074,Vegetalia,"41,3803973","2,1776952",
node/2618538581,Veggie Garden,"41,3822767","2,1680336",
node/2618538595,Biocenter,"41,3825765","2,1694364",
node/2682096948,Bar Oliveda,"42,0021369","2,2941505",
node/2682096950,MésKpa,"42,0024985","2,2932554",
node/2684052224,Pai Mei,"41,4051863","2,1931071",
node/2687089274,Dolça Estona,"41,4117096","2,1394938",
node/2689736934,Bar Bodega Molina,"41,4403298","2,1817019",
node/2721077740,Bar Veni,"41,3848861","2,1667078",
node/2727449418,Las Euras,"41,3998785","2,1577187",
node/2737925098,L'Electricitat,"4,1379349","0,2190017",
node/2737964876,Maians,"4,1379378","0,2190448",
node/2737971478,Leo,"4,1379481","0,0219093",
node/2737975897,Absenta,"0,4137951","0,0219116",
node/2793491051,La bona tapa,"41,4368098","2,2166172",
node/2892028393,Kino,"41,3825992","2,1665452",
node/2892037115,23 Robadors,"41,3796029","2,1708903",
node/2910255826,Shôko,"41,3854991","2,1969746",
node/2910255827,Opium,"41,3852778","2,1967099",
node/2927944587,Tapas Tapas!,"41,3745104","2,1829399",
node/2931396952,null,"41,6328887","2,1624896",
node/2951499208,El racó d'en Henry,"41,4394757","2,2215013",
node/2961666034,Bugatti,"41,5665685","2,5194621",
node/2966340931,El Capritx,"41,4022886","2,1998883",
node/2968119440,Can Tresó,"41,4028999","2,1537483",
node/2968921892,NAVY Coffee & Bar,"41,4057451","0,2163227",
node/2969276727,La Sirena Verde,"41,4027605","2,1657128",
node/2969277275,Café de l'Eixample,"41,4005021","2,1690108",
node/2970751837,Café del Sol,"4,1401784","2,1565238",
node/2970751844,Taverna El Disbarat,"41,4017728","2,1545227",
node/2970751845,Braseria Piras,"4,1401646","2,1543283",
node/3002583336,#ERROR!,"41,5648792","2,5148097",
node/3007755352,La Pausa,"41,4071883","2,1557816",
node/3007803307,Oh La Lá,"41,4460123","2,2485803",
node/3025935849,Una mica de Japó,"41,3836934","0,2153832",
node/3048077142,L'Aliança del Poblenou,"41,3997067","2,2032276",
node/3049368344,Clot76,"41,4082815","2,1885259",
node/3084370508,Marina Bay By Moncho's,"41,3863077","2,1975017",
node/3084507933,Caravelle,"41,3822872","2,1688475",
node/3120072573,Bar Restaurant Nàutic,"41,3806088","2,1408397",
node/3120093352,Como,"41,3798223","0,2140222",
node/3140472271,Bar Restaurant Zarpi,"41,5178854","1,8988835",
node/3140472275,Granja Torrentet,"41,5172621","0,0189987",
node/3140472299,null,"41,5172926","1,8996376",
node/3140472300,null,"41,5173167","1,8994539",
node/3144093647,La Cosa Nostra,"41,3673041","2,0188829",
node/3147102170,Cafè del Centre,"41,6332433","2,1632876",
node/3152933737,Elsara,"41,3682539","2,0220536",
node/3152959648,The Garrison,"41,3679822","2,0176248",
node/3152960020,La Plaça,"41,3677194","2,0170476",
node/3177990194,Mezcal Taco Bar,"41,3830563","2,1554872",
node/3204198562,El nou Casal,"41,4820888","2,2683349",
node/3204198564,L'avi Mingo,"4,1483326","2,2685536",
node/3226118482,Cachopería Brasería Ca La Paka,"4,1798529","2,2183827",
node/3226118485,La Violeta,"41,7987468","2,2188545",
node/3247894536,Zèfir,"41,9300534","2,2443345",
node/3270120640,Luigi,"41,3862659","2,1753788",
node/3271554311,Al Sultán,"41,4035661","2,1554863",
node/3328694987,Nou Candanchú,"41,4005128","2,1576475",
node/3339670930,Bahia,"41,3803265","2,1774842",
node/3353656153,Khalijia,"4,1390237","2,1706202",
node/3402572587,The 1916,"41,4918294","2,1390951",
node/3415816461,Cuina Sant Pau,"41,6014639","2,6231353",
node/3441700493,Santos Tapas,"41,3818417","2,1745121",
node/3491476947,Bar del Pla,"41,3856036","2,1800221",
node/3496970198,Centre Cívic Can Deu,"41,3869027","2,1327794",
node/3504769719,El Rincón,"41,3908977","2,1900669",
node/3517276245,Bar Canigó,"41,4029724","2,1579186",
node/3520083662,Restaurant Racó del Campanar,"41,5471878","2,1082329",
node/3522552400,Àpat's,"41,3757617","2,1419109",
node/3542490522,La Llesca,"41,7525096","0,1879005",
node/3548547194,El Bon Menjador - 2,"41,4388101","2,2172863",
node/3548548998,Bar Morales,"41,4395878","2,2165237",
node/3548613493,Sant Jordi Granja Bar,"4,1437706","2,2181061",
node/3548613495,Bar Paula's Tapería,"41,4385437","2,2175484",
node/3556089494,Delicias Mediterráneas,"41,4415079","2,2267435",
node/3556089497,Xurreria Rodríguez,"41,4416928","2,2264651",
node/3556089596,Tiankelong,"41,4427967","0,2225819",
node/3556089803,Bar de La Salut,"41,4422594","2,2258792",
node/3560942698,Sandvitxeria Alhociema,"41,4443624","2,2236761",
node/3560955995,Centro Cultural Castellano-manchego,"41,4390698","2,2176297",
node/3595399490,Bar Familiar,"41,4359163","2,2182018",
node/3595399492,Rostisseria Queda Pollo,"4,1435517","2,2180529",
node/3595399769,La granja de Casablanca,"41,4357671","2,2189395",
node/3595401238,Bar Alcázar,"41,4365542","2,2183742",
node/3596547827,Can Manel,"41,6030624","2,2911446",
node/3596986411,Agrupación Cultural Galega Agarimos,"41,4358268","2,2165495",
node/3612059306,Nabuco Tiramisú,"41,4004523","2,1577244",
node/3620392796,El Crossanet,"41,9334758","2,2452125",
node/3620986554,Yamane,"41,3868061","2,1808426",
node/3620991692,Yamaneko-ryouri,"41,4016619","2,1447787",
node/3621528193,Sant Miquel Gastronòmic,"41,6103062","2,2882135",
node/3624045193,Bar-Granja Maribel,"41,4399092","2,2235793",
node/3624045293,Bar La Cantonada,"41,4396227","2,2242325",
node/3634095357,El Taller,"4,1377177","2,0852194",
node/3639853576,Nou Urbisol,"41,5992401","0,1701086",
node/3711747235,Can Bordas,"41,7318573","2,5017553",
node/3711753758,Bar Avalon,"41,7314094","2,5027383",
node/3713349650,Groin's,"41,4108415","2,1637178",
node/3718061014,Bar Calders,"41,3764788","2,1623937",
node/3730796125,Buenas Migas,"41,3975542","2,1587856",
node/3761312382,La Fonda,"41,3793598","2,1762144",
node/3762966035,El Llit Bar,"41,5476592","2,1084356",
node/3777075876,Oaxaca,"41,3821041","2,1838988",
node/3779149860,EsPan's,"41,4349094","2,2194667",
node/3794002044,Samurai Ramen,"41,3736753","2,1548947",
node/3804046057,Robata Sushi & Grill,"41,3904886","2,1585836",
node/3809169458,Freiduría El Boquerón,"41,4400822","2,2264769",
node/3809169459,Marisquería Melchor,"41,4401715","2,2266602",
node/3809169461,Elhotro bar,"41,4401247","2,2268506",
node/3809169658,Carte d'Or,"41,4403068","2,2274065",
node/3809169668,Vivari,"41,4408122","2,2271125",
node/3809169669,Pantaiberic delicatessen,"41,4408174","2,2269502",
node/3813048857,Na Madrona,"41,6353833","2,1626198",
node/3815464457,Copeta,"4,1403019","0,2178883",
node/3840009426,La Esquinica,"41,4304816","2,1712169",
node/3874539219,Café del Centre,"41,3946111","2,1712059",
node/3890922254,Characato,"41,4046885","2,1836218",
node/3901403358,Les Dues Sicilies,"41,3866097","2,1802613",
node/3933142045,Paradís,"41,4397791","0,2215436",
node/3952001777,Cafè de la Plaça,"41,4239704","0,1786476",
node/3955968257,El racó de les Glòries,"41,3986109","2,1978895",
node/4060217594,Matt & Marshall,"41,3993348","2,1997769",
node/4067638189,Bar D.I.D,"41,7216898","1,8348614",
node/4073605889,Mariscco,"41,3804885","2,1753271",
node/4126257971,Xixbar,"41,3758485","2,1576176",
node/4127494769,Vapiano,"41,3788941","2,1758361",
node/4138815989,Nømad Cøffee,"41,3889108","2,1771731",
node/4147226265,null,"41,5492529","2,4313052",
node/4150499794,El 68,"41,4023622","2,1612062",
node/4166496789,Bar Thonet Grill Room,"41,3792408","2,1761073",
node/4168100800,Cervecería Frankfurt Europa,"41,4396191","2,2191504",
node/4184924290,Txapela,"41,3926728","0,2164779",
node/4200467952,Vermut i Tapes El Rellotge,"41,6018481","2,6274739",
node/4202061070,Bar 8-sis-sis-8,"41,7513429","2,1193526",
node/4224209448,Ca la Petita,"41,7377841","1,8021541",
node/4225209596,Bar El Velodromo,"41,3934442","2,1501395",
node/4225810298,Bar Nolla,"41,3905504","2,1647825",
node/4226760647,Colom,"4,1379825","2,1764897",
node/4233959493,Pastisseria Granja,"41,3795042","2,1792309",
node/4239222689,Rekons,"41,3806195","2,1610796",
node/4244877765,Bar La Peña,"41,4404265","2,2170329",
node/4244877778,Bar El Chaparral,"41,4416289","0,2218379",
node/4247196393,cal mariner,"41,3791754","2,1898206",
node/4248395993,Cafeteria-Restaurant Sandra,"41,3895849","0,2150335",
node/4253851490,El Trencadís,"41,3937976","2,1655309",
node/4253862889,Hummus,"41,3912547","2,1611975",
node/4254090289,La tasqueta de Blai,"41,3733347","2,1652358",
node/4254094290,Rosa Negra,"41,3819164","2,1687596",
node/4254704967,Firebug Brunch,"41,3927459","2,1778691",
node/4254996890,La Macchina,"41,4030005","2,1535966",
node/4267035492,Kebabish,"41,4409198","2,2217884",
node/4267055591,La cantina del tapeo,"41,4420999","2,2200224",
node/4278033120,Buenas Migas,"41,3838044","2,1696233",
node/4281892937,Vivari,"4,1410529","2,1645217",
node/4283188047,Granja Romaní,"41,4348618","2,2179712",
node/4283194434,Bar La Paradeta,"41,4337773","2,2167771",
node/4291934189,Fonda Espanya,"41,3799009","2,1728032",
node/4306440989,Blai 9,"41,3730722","2,1658539",
node/4314855989,La Gran Torrada,"41,4415815","0,2231269",
node/4314856590,Bar La Rosada,"41,4414219","0,2231667",
node/4314857689,El punt,"41,4413807","2,2316251",
node/4314859689,Versace,"41,4337089","2,2172203",
node/4315715092,Petit Comitè,"41,3943551","2,1600308",
node/4321183403,Brunch & Cake,"41,3882834","2,1615596",
node/4336933393,Mayura,"41,3938992","2,1720914",
node/4338698661,Fragments Cafè,"4,1386624","2,1324955",
node/4340119890,VIENA,"41,3579934","2,1293918",
node/4349886673,Dionisos,"0,4138047","2,1770302",
node/4349925690,Nemrut,"41,3810051","2,1772158",
node/4350019284,Palosanto,"41,3808122","2,1772701",
node/4362285508,Can Quico,"41,6658418","2,2659506",
node/4364289794,Faborit Casa Amatller,"41,3915836","2,1650592",
node/4386702690,Red Ant Noodle Bar,"41,3880129","2,1810961",
node/4396244190,Fresc Co,"41,3891657","2,1969678",
node/4401234193,BlackLab Brewhouse & Kitchen,"41,3812305","2,1854573",
node/4406708695,Raspall,"4,1401192","2,1605852",
node/4427919102,Mesón el Cid,"41,2093739","1,7053261",
node/4431102493,Forn Puiggròs,"41,4102615","2,1741597",
node/4437577591,L'Antillana,"0,4145054","0,2253954",
node/4439412389,La Vinya del Senyor,"41,3832546","2,1818655",
node/4440352791,La Gavina,"41,3807532","2,1853211",
node/4443367289,Pannus,"41,3863691","2,1726728",
node/4448306727,Cafe gaucho,"41,4925954","2,1469867",
